run_dir,condition,collapse_level,collapse_severity,final_test_acc,final_train_acc,final_weight_norm,grokking_step_detected,grokked_detected,seed
results/multi_seed/42/pure,pure,0.0,0.5,1.0,1.0,30.311590703388994,1700,True,42
results/multi_seed/42/high_collapse,high_collapse,0.3,0.7,0.254411161263849,0.9875478927203065,53.51822529931683,-1,False,42
results/multi_seed/42/low_collapse,low_collapse,0.05,0.3,0.9848173984407058,1.0,36.3174290330349,4100,True,42
results/multi_seed/42/medium_collapse,medium_collapse,0.15,0.5,0.8251949117767747,1.0,43.82319693885459,-1,False,42
results/multi_seed/43/severe_collapse,severe_collapse,0.5,0.9,0.03610997127615921,0.8438697318007663,61.718128166797385,-1,False,43
results/multi_seed/43/pure,pure,0.0,0.5,1.0,1.0,31.56538701894806,1400,True,43
results/multi_seed/43/high_collapse,high_collapse,0.3,0.7,0.26877308165777597,0.9961685823754789,57.58566584709197,-1,False,43
results/multi_seed/43/low_collapse,low_collapse,0.05,0.3,0.9926138695116947,1.0,36.71852999750299,2500,True,43
results/multi_seed/43/medium_collapse,medium_collapse,0.15,0.5,0.8830529339351662,1.0,43.688855717497916,-1,False,43
results/multi_seed/46/severe_collapse,severe_collapse,0.5,0.9,0.04595814526056627,1.0,60.865528749271924,-1,False,46
results/multi_seed/46/pure,pure,0.0,0.5,1.0,1.0,32.74715919021859,1400,True,46
results/multi_seed/46/high_collapse,high_collapse,0.3,0.7,0.23389413212966761,0.9511494252873564,64.70179690580852,-1,False,46
results/multi_seed/46/low_collapse,low_collapse,0.05,0.3,0.979072630283135,1.0,33.78874980077966,7700,True,46
results/multi_seed/46/medium_collapse,medium_collapse,0.15,0.5,0.8674599917931883,1.0,44.985271560775274,-1,False,46
results/multi_seed/44/severe_collapse,severe_collapse,0.5,0.9,0.035699630693475586,0.9779693486590039,60.04495323180967,-1,False,44
results/multi_seed/44/pure,pure,0.0,0.5,0.9183422240459581,0.9616858237547893,40.203411891888365,1300,True,44
results/multi_seed/44/high_collapse,high_collapse,0.3,0.7,0.3951579811243332,0.9990421455938697,52.75158893225783,-1,False,44
results/multi_seed/44/low_collapse,low_collapse,0.05,0.3,0.982355354944604,1.0,35.29801116051794,3000,True,44
results/multi_seed/44/medium_collapse,medium_collapse,0.15,0.5,0.8736151005334427,1.0,36.05140524016973,-1,False,44
results/noise_baseline/noise0/seed_42,seed_42,0.0,0.5,1.0,1.0,30.311590703388994,1700,True,42
results/noise_baseline/noise0/seed_43,seed_43,0.0,0.5,1.0,1.0,31.56538701894806,1400,True,43
results/noise_baseline/noise0/seed_44,seed_44,0.0,0.5,0.9183422240459581,0.9616858237547893,40.203411891888365,1300,True,44
results/noise_baseline/noise0/seed_46,seed_46,0.0,0.5,1.0,1.0,32.74715919021859,1400,True,46
results/noise_baseline/noise0/seed_45,seed_45,0.0,0.5,1.0,1.0,31.316850483733077,1300,True,45
results/noise_baseline/noise0.15/seed_42,seed_42,0.0,0.5,0.8494050061551087,1.0,42.1758746180553,-1,False,42
results/noise_baseline/noise0.15/seed_43,seed_43,0.0,0.5,0.7525646286417726,0.9952107279693486,43.71364224623043,-1,False,43
results/noise_baseline/noise0.15/seed_44,seed_44,0.0,0.5,0.8576118178087813,0.9990421455938697,35.727947137967014,-1,False,44
results/noise_baseline/noise0.15/seed_46,seed_46,0.0,0.5,0.8592531801395158,1.0,42.20189801624742,-1,False,46
